linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB23,C00121368,5456294,CCM,MULLIN FOR AMERICA,,,,,,PO BOX 3681,,MUSKOGEE,OK,74402,,2022-09-07,5000.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5456291,CCM,LISA MURKOWSKI FOR US SENATE,,,,,,PO BOX 100847,,ANCHORAGE,AK,99510,,2022-09-07,5000.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5470071,CCM,AUGUST PFLUGER FOR CONGRESS,,,,,,PO BOX 3530,,San Angelo,TX,76902,,2022-09-21,5000.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5474983,PAC,TOMORROW IS MEANINGFUL PAC,,,,,,1409 ASHLEY RIVER RD,,CHARLESTON,SC,29407,,2022-09-30,5000.0,Contributions to Federal PACS,,Contributions to Federal PACS,2022
SB23,C00121368,5470080,CCM,TEXANS FOR JODEY ARRINGTON,,,,,,PO BOX 6687,,LUBBOCK,TX,79493,,2022-09-21,4000.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5469177,CCM,MIKE CRAPO FOR US SENATE,,,,,,P.O. BOX 1948,,BOISE,ID,83701,,2022-09-15,3750.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5456290,CCM,MARCO RUBIO FOR US SENATE,,,,,,PO BOX 140420,,MIAMI,FL,33114,,2022-09-07,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5456295,CCM,BOOZMAN FOR ARKANSAS,,,,,,322 NORTH BLOOMINGTON SUITE A-B,,LOWELL,AR,72745,,2022-09-07,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5470095,CCM,TERRI SEWELL FOR CONGRESS,,,,,,P.O. BOX 1964,,BIRMINGHAM,AL,35201,,2022-09-21,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5470094,CCM,"MCCAUL FOR CONGRESS, INC",,,,,,"815-A BRAZOS STREET, PMB 230",,AUSTIN,TX,78701,,2022-09-21,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5470092,CCM,LAHOOD FOR CONGRESS,,,,,,P.O. BOX 10735,,PEORIA,IL,61612,,2022-09-21,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5470074,CCM,ADRIAN SMITH FOR CONGRESS,,,,,,1126 AVENUE A Ste 6,,SCOTTSBLUFF,NE,69361,,2022-09-21,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5470075,CCM,MARC VEASEY CONGRESSIONAL CAMPAIGN COMMITTEE,,,,,,PO Box 50084,,FORT WORTH,TX,76105,,2022-09-21,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5470076,CCM,DAN CRENSHAW FOR CONGRESS,,,,,,PO BOX 430965,,Houston,TX,77243,,2022-09-21,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5470077,CCM,WESTERMAN FOR CONGRESS,,,,,,PO BOX 21097,,HOT SPRINGS,AR,71903,,2022-09-21,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5470091,CCM,Hunt For Congress,,,,,,1707 1/2 Post Oak Blvd. #525,,Houston,TX,77056,,2022-09-21,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5470085,CCM,ELIZABETH PANNILL FLETCHER FOR CONGRESS,,,,,,3262 WESTHEIMER RD,#636,HOUSTON,TX,77098,,2022-09-21,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5470083,CCM,LOU CORREA FOR CONGRESS,,,,,,P.O. BOX 2229,,SAN MARCOS,CA,92079,,2022-09-21,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5456283,CCM,FRIENDS OF JOHN THUNE,,,,,,200 NORTH PHILLIPS AVENUE STE L101,,SIOUX FALLS,SD,57104,,2022-09-07,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5456284,CCM,FRIENDS OF MIKE LEE INC,,,,,,190 WEST 800 NORTH STE 100,,PROVO,UT,84601,,2022-09-07,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5456286,CCM,Schmitt For Senate,,,,,,"101 W Argonne Dr, #24",,Saint Louis,MO,63122,,2022-09-07,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5456287,CCM,HOEVEN FOR SENATE,,,,,,PO BOX 15114,,ARLINGTON,VA,22215,,2022-09-07,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5456289,CCM,Romney For Utah Inc,,,,,,C/O Red Curve Solutions,"138 Conant Street, 2nd Floor",Beverly,MA,01915,,2022-09-07,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5470072,CCM,PETE SESSIONS FOR CONGRESS,,,,,,PO BOX 823047,,DALLAS,TX,75382,,2022-09-21,2000.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5470087,CCM,HERN FOR CONGRESS,,,,,,8630 S PEORIA AVENUE,,Tulsa,OK,74132,,2022-09-21,1500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5470081,CCM,SANFORD BISHOP FOR CONGRESS,,,,,,P. O. BOX 909,,COLUMBUS,GA,31902,,2022-09-21,1500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5470070,CCM,GARY PALMER FOR CONGRESS,,,,,,1919 OXMOOR RD #235,,Birmingham,AL,35209,,2022-09-21,1000.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5470068,CCM,Ted Budd For Senate,,,,,,321 MAPLEWOOD LANE,,Advance,NC,27006,,2022-09-21,1000.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5470059,PAC,Scalise Leadership Fund,,,,,,320 FIRST ST SE,,WASHINGTON,DC,20003,,2022-09-21,1000.0,Contributions to Federal PACS,,Contributions to Federal PACS,2022
SB21b,C00121368,5474252,ORG,BANK OF AMERICA,,,,,,P O BOX 4339,,HOUSTON,TX,77210,,2022-09-07,15.0,Bank Fee,,Bank Fee,2022
